entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,max_spread_bps,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.49,0.49,0.1,3,,0.004,0.0075,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 891, ""prob_floor"": 142, ""stop_loss"": 7, ""prob_trailing"": 1, ""take_profit"": 3}",0.2339
0.49,0.49,0.1,3,,0.004,0.0075,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 757, ""prob_floor"": 115, ""stop_loss"": 7, ""prob_trailing"": 1}",0.2339
0.49,0.49,0.1,3,,0.005,,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 894, ""prob_floor"": 145, ""stop_loss"": 4, ""prob_trailing"": 1}",0.2339
0.49,0.49,0.1,3,,0.005,,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 760, ""prob_floor"": 115, ""stop_loss"": 4, ""prob_trailing"": 1}",0.2339
0.49,0.49,0.1,3,,0.005,0.0075,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 894, ""prob_floor"": 142, ""stop_loss"": 4, ""prob_trailing"": 1, ""take_profit"": 3}",0.2339
0.49,0.49,0.1,3,,0.005,0.0075,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 760, ""prob_floor"": 115, ""stop_loss"": 4, ""prob_trailing"": 1}",0.2339
0.49,0.49,0.1,3,3600.0,0.004,,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 891, ""prob_floor"": 144, ""stop_loss"": 7, ""prob_trailing"": 1, ""time_limit"": 1}",0.2339
0.49,0.49,0.1,3,3600.0,0.004,,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 757, ""prob_floor"": 114, ""stop_loss"": 7, ""prob_trailing"": 1, ""time_limit"": 1}",0.2339
0.49,0.49,0.1,3,3600.0,0.004,0.0075,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 891, ""prob_floor"": 141, ""stop_loss"": 7, ""prob_trailing"": 1, ""time_limit"": 1, ""take_profit"": 3}",0.2339
0.49,0.49,0.1,3,3600.0,0.004,0.0075,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 757, ""prob_floor"": 114, ""stop_loss"": 7, ""prob_trailing"": 1, ""time_limit"": 1}",0.2339
0.49,0.49,0.1,3,3600.0,0.005,,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 894, ""prob_floor"": 144, ""stop_loss"": 4, ""prob_trailing"": 1, ""time_limit"": 1}",0.2339
0.49,0.49,0.1,3,3600.0,0.005,,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 760, ""prob_floor"": 114, ""stop_loss"": 4, ""prob_trailing"": 1, ""time_limit"": 1}",0.2339
0.49,0.49,0.1,3,3600.0,0.005,0.0075,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 894, ""prob_floor"": 141, ""stop_loss"": 4, ""prob_trailing"": 1, ""time_limit"": 1, ""take_profit"": 3}",0.2339
0.49,0.49,0.1,3,3600.0,0.005,0.0075,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 760, ""prob_floor"": 114, ""stop_loss"": 4, ""prob_trailing"": 1, ""time_limit"": 1}",0.2339
0.49,0.49,0.15,1,,0.004,,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1179, ""prob_floor"": 127, ""stop_loss"": 7}",0.2339
0.49,0.49,0.15,1,,0.004,,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1033, ""prob_floor"": 94, ""stop_loss"": 6}",0.2339
0.49,0.49,0.15,1,,0.004,0.0075,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1179, ""prob_floor"": 124, ""stop_loss"": 7, ""take_profit"": 3}",0.2339
0.49,0.49,0.15,1,,0.004,0.0075,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1033, ""prob_floor"": 94, ""stop_loss"": 6}",0.2339
0.49,0.49,0.15,1,,0.005,,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1182, ""prob_floor"": 127, ""stop_loss"": 4}",0.2339
0.49,0.49,0.15,1,,0.005,,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1035, ""prob_floor"": 94, ""stop_loss"": 4}",0.2339
0.49,0.49,0.15,1,,0.005,0.0075,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1182, ""prob_floor"": 124, ""stop_loss"": 4, ""take_profit"": 3}",0.2339
0.49,0.49,0.15,1,,0.005,0.0075,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1035, ""prob_floor"": 94, ""stop_loss"": 4}",0.2339
0.49,0.49,0.15,1,3600.0,0.004,,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1179, ""prob_floor"": 126, ""stop_loss"": 7, ""time_limit"": 1}",0.2339
0.49,0.49,0.15,1,3600.0,0.004,,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1033, ""prob_floor"": 93, ""stop_loss"": 6, ""time_limit"": 1}",0.2339
0.49,0.49,0.15,1,3600.0,0.004,0.0075,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1179, ""prob_floor"": 123, ""stop_loss"": 7, ""time_limit"": 1, ""take_profit"": 3}",0.2339
0.49,0.49,0.15,1,3600.0,0.004,0.0075,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1033, ""prob_floor"": 93, ""stop_loss"": 6, ""time_limit"": 1}",0.2339
0.49,0.49,0.15,1,3600.0,0.005,,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1182, ""prob_floor"": 126, ""stop_loss"": 4, ""time_limit"": 1}",0.2339
0.49,0.49,0.15,1,3600.0,0.005,,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1035, ""prob_floor"": 93, ""stop_loss"": 4, ""time_limit"": 1}",0.2339
0.49,0.49,0.15,1,3600.0,0.005,0.0075,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1182, ""prob_floor"": 123, ""stop_loss"": 4, ""time_limit"": 1, ""take_profit"": 3}",0.2339
0.49,0.49,0.15,1,3600.0,0.005,0.0075,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1035, ""prob_floor"": 93, ""stop_loss"": 4, ""time_limit"": 1}",0.2339
0.49,0.49,0.15,3,,0.004,,8,643,228,-1.3470339152583422,-0.08980226101722281,-3.4465065974434084,1.6447018633729797,0.6613940265502987,-0.00262719421354813,-0.0020949205525013126,0.3356,400,0,0,"{""gate_close"": 891, ""prob_floor"": 145, ""stop_loss"": 7}",0.2339
0.49,0.49,0.15,3,,0.004,,10,691,226,-2.711591921564945,-0.18077279477099634,-7.4915653110411835,2.783362076593984,0.43966514321797573,-0.0033086377267793655,-0.003924156181714823,0.3187,189,0,0,"{""gate_close"": 759, ""prob_floor"": 114, ""stop_loss"": 7}",0.2339
0.49,0.49,0.15,3,,0.004,0.0075,8,643,228,-1.3470339152583422,-0.08980226101722281,-3.4465065974434084,1.6447018633729797,0.6613940265502987,-0.00262719421354813,-0.0020949205525013126,0.3356,400,0,0,"{""gate_close"": 891, ""prob_floor"": 142, ""stop_loss"": 7, ""take_profit"": 3}",0.2339
0.49,0.49,0.15,3,,0.004,0.0075,10,691,226,-2.711591921564945,-0.18077279477099634,-7.4915653110411835,2.783362076593984,0.43966514321797573,-0.0033086377267793655,-0.003924156181714823,0.3187,189,0,0,"{""gate_close"": 759, ""prob_floor"": 114, ""stop_loss"": 7}",0.2339
0.49,0.49,0.15,3,,0.005,,8,643,228,-1.3470339152583422,-0.08980226101722281,-3.4465065974434084,1.6447018633729797,0.6613940265502987,-0.00262719421354813,-0.0020949205525013126,0.3356,400,0,0,"{""gate_close"": 894, ""prob_floor"": 145, ""stop_loss"": 4}",0.2339
0.49,0.49,0.15,3,,0.005,,10,691,226,-2.711591921564945,-0.18077279477099634,-7.4915653110411835,2.783362076593984,0.43966514321797573,-0.0033086377267793655,-0.003924156181714823,0.3187,189,0,0,"{""gate_close"": 762, ""prob_floor"": 114, ""stop_loss"": 4}",0.2339
0.49,0.49,0.15,3,,0.005,0.0075,8,643,228,-1.3470339152583422,-0.08980226101722281,-3.4465065974434084,1.6447018633729797,0.6613940265502987,-0.00262719421354813,-0.0020949205525013126,0.3356,400,0,0,"{""gate_close"": 894, ""prob_floor"": 142, ""stop_loss"": 4, ""take_profit"": 3}",0.2339
0.49,0.49,0.15,3,,0.005,0.0075,10,691,226,-2.711591921564945,-0.18077279477099634,-7.4915653110411835,2.783362076593984,0.43966514321797573,-0.0033086377267793655,-0.003924156181714823,0.3187,189,0,0,"{""gate_close"": 762, ""prob_floor"": 114, ""stop_loss"": 4}",0.2339
0.49,0.49,0.15,3,3600.0,0.004,,8,643,228,-1.3470339152583422,-0.08980226101722281,-3.4465065974434084,1.6447018633729797,0.6613940265502987,-0.00262719421354813,-0.0020949205525013126,0.3356,400,0,0,"{""gate_close"": 891, ""prob_floor"": 144, ""stop_loss"": 7, ""time_limit"": 1}",0.2339
0.49,0.49,0.15,3,3600.0,0.004,,10,691,226,-2.711591921564945,-0.18077279477099634,-7.4915653110411835,2.783362076593984,0.43966514321797573,-0.0033086377267793655,-0.003924156181714823,0.3187,189,0,0,"{""gate_close"": 759, ""prob_floor"": 113, ""stop_loss"": 7, ""time_limit"": 1}",0.2339
0.49,0.49,0.15,3,3600.0,0.004,0.0075,8,643,228,-1.3470339152583422,-0.08980226101722281,-3.4465065974434084,1.6447018633729797,0.6613940265502987,-0.00262719421354813,-0.0020949205525013126,0.3356,400,0,0,"{""gate_close"": 891, ""prob_floor"": 141, ""stop_loss"": 7, ""time_limit"": 1, ""take_profit"": 3}",0.2339
0.49,0.49,0.15,3,3600.0,0.004,0.0075,10,691,226,-2.711591921564945,-0.18077279477099634,-7.4915653110411835,2.783362076593984,0.43966514321797573,-0.0033086377267793655,-0.003924156181714823,0.3187,189,0,0,"{""gate_close"": 759, ""prob_floor"": 113, ""stop_loss"": 7, ""time_limit"": 1}",0.2339
0.49,0.49,0.15,3,3600.0,0.005,,8,643,228,-1.3470339152583422,-0.08980226101722281,-3.4465065974434084,1.6447018633729797,0.6613940265502987,-0.00262719421354813,-0.0020949205525013126,0.3356,400,0,0,"{""gate_close"": 894, ""prob_floor"": 144, ""stop_loss"": 4, ""time_limit"": 1}",0.2339
0.49,0.49,0.15,3,3600.0,0.005,,10,691,226,-2.711591921564945,-0.18077279477099634,-7.4915653110411835,2.783362076593984,0.43966514321797573,-0.0033086377267793655,-0.003924156181714823,0.3187,189,0,0,"{""gate_close"": 762, ""prob_floor"": 113, ""stop_loss"": 4, ""time_limit"": 1}",0.2339
0.49,0.49,0.15,3,3600.0,0.005,0.0075,8,643,228,-1.3470339152583422,-0.08980226101722281,-3.4465065974434084,1.6447018633729797,0.6613940265502987,-0.00262719421354813,-0.0020949205525013126,0.3356,400,0,0,"{""gate_close"": 894, ""prob_floor"": 141, ""stop_loss"": 4, ""time_limit"": 1, ""take_profit"": 3}",0.2339
0.49,0.49,0.15,3,3600.0,0.005,0.0075,10,691,226,-2.711591921564945,-0.18077279477099634,-7.4915653110411835,2.783362076593984,0.43966514321797573,-0.0033086377267793655,-0.003924156181714823,0.3187,189,0,0,"{""gate_close"": 762, ""prob_floor"": 113, ""stop_loss"": 4, ""time_limit"": 1}",0.2339
0.49,0.5,0.1,1,,0.004,,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1179, ""prob_floor"": 127, ""stop_loss"": 7}",0.2339
0.49,0.5,0.1,1,,0.004,,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1033, ""prob_floor"": 94, ""stop_loss"": 6}",0.2339
0.49,0.5,0.1,1,,0.004,0.0075,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1179, ""prob_floor"": 124, ""stop_loss"": 7, ""take_profit"": 3}",0.2339
0.49,0.5,0.1,1,,0.004,0.0075,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1033, ""prob_floor"": 94, ""stop_loss"": 6}",0.2339
0.49,0.5,0.1,1,,0.005,,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1182, ""prob_floor"": 127, ""stop_loss"": 4}",0.2339
0.49,0.5,0.1,1,,0.005,,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1035, ""prob_floor"": 94, ""stop_loss"": 4}",0.2339
0.49,0.5,0.1,1,,0.005,0.0075,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1182, ""prob_floor"": 124, ""stop_loss"": 4, ""take_profit"": 3}",0.2339
0.49,0.5,0.1,1,,0.005,0.0075,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1035, ""prob_floor"": 94, ""stop_loss"": 4}",0.2339
0.49,0.5,0.1,1,3600.0,0.004,,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1179, ""prob_floor"": 126, ""stop_loss"": 7, ""time_limit"": 1}",0.2339
0.49,0.5,0.1,1,3600.0,0.004,,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1033, ""prob_floor"": 93, ""stop_loss"": 6, ""time_limit"": 1}",0.2339
0.49,0.5,0.1,1,3600.0,0.004,0.0075,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1179, ""prob_floor"": 123, ""stop_loss"": 7, ""time_limit"": 1, ""take_profit"": 3}",0.2339
0.49,0.5,0.1,1,3600.0,0.004,0.0075,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1033, ""prob_floor"": 93, ""stop_loss"": 6, ""time_limit"": 1}",0.2339
0.49,0.5,0.1,1,3600.0,0.005,,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1182, ""prob_floor"": 126, ""stop_loss"": 4, ""time_limit"": 1}",0.2339
0.49,0.5,0.1,1,3600.0,0.005,,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1035, ""prob_floor"": 93, ""stop_loss"": 4, ""time_limit"": 1}",0.2339
0.49,0.5,0.1,1,3600.0,0.005,0.0075,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1182, ""prob_floor"": 123, ""stop_loss"": 4, ""time_limit"": 1, ""take_profit"": 3}",0.2339
0.49,0.5,0.1,1,3600.0,0.005,0.0075,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1035, ""prob_floor"": 93, ""stop_loss"": 4, ""time_limit"": 1}",0.2339
0.49,0.5,0.1,3,,0.004,,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 891, ""prob_floor"": 145, ""stop_loss"": 7, ""prob_trailing"": 1}",0.2339
0.49,0.5,0.1,3,,0.004,,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 757, ""prob_floor"": 115, ""stop_loss"": 7, ""prob_trailing"": 1}",0.2339
0.49,0.5,0.1,3,,0.004,0.0075,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 891, ""prob_floor"": 142, ""stop_loss"": 7, ""prob_trailing"": 1, ""take_profit"": 3}",0.2339
0.49,0.5,0.1,3,,0.004,0.0075,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 757, ""prob_floor"": 115, ""stop_loss"": 7, ""prob_trailing"": 1}",0.2339
0.49,0.5,0.1,3,,0.005,,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 894, ""prob_floor"": 145, ""stop_loss"": 4, ""prob_trailing"": 1}",0.2339
0.49,0.5,0.1,3,,0.005,,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 760, ""prob_floor"": 115, ""stop_loss"": 4, ""prob_trailing"": 1}",0.2339
0.49,0.5,0.1,3,,0.005,0.0075,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 894, ""prob_floor"": 142, ""stop_loss"": 4, ""prob_trailing"": 1, ""take_profit"": 3}",0.2339
0.49,0.5,0.1,3,,0.005,0.0075,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 760, ""prob_floor"": 115, ""stop_loss"": 4, ""prob_trailing"": 1}",0.2339
0.49,0.5,0.1,3,3600.0,0.004,,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 891, ""prob_floor"": 144, ""stop_loss"": 7, ""prob_trailing"": 1, ""time_limit"": 1}",0.2339
0.49,0.5,0.1,3,3600.0,0.004,,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 757, ""prob_floor"": 114, ""stop_loss"": 7, ""prob_trailing"": 1, ""time_limit"": 1}",0.2339
0.49,0.5,0.1,3,3600.0,0.004,0.0075,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 891, ""prob_floor"": 141, ""stop_loss"": 7, ""prob_trailing"": 1, ""time_limit"": 1, ""take_profit"": 3}",0.2339
0.49,0.5,0.1,3,3600.0,0.004,0.0075,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 757, ""prob_floor"": 114, ""stop_loss"": 7, ""prob_trailing"": 1, ""time_limit"": 1}",0.2339
0.49,0.5,0.1,3,3600.0,0.005,,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 894, ""prob_floor"": 144, ""stop_loss"": 4, ""prob_trailing"": 1, ""time_limit"": 1}",0.2339
0.49,0.5,0.1,3,3600.0,0.005,,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 760, ""prob_floor"": 114, ""stop_loss"": 4, ""prob_trailing"": 1, ""time_limit"": 1}",0.2339
0.49,0.5,0.1,3,3600.0,0.005,0.0075,8,644,229,-1.3591456824608454,-0.09060971216405636,-3.4972444779063903,1.656813630575483,0.6583494731226938,-0.0026179246037433385,-0.002110474662206285,0.3355,400,0,0,"{""gate_close"": 894, ""prob_floor"": 141, ""stop_loss"": 4, ""prob_trailing"": 1, ""time_limit"": 1, ""take_profit"": 3}",0.2339
0.49,0.5,0.1,3,3600.0,0.005,0.0075,10,691,226,-2.6846158480792743,-0.17897438987195163,-7.335554895419412,2.783362076593984,0.4452395934709514,-0.0033086377267793655,-0.003885117001561898,0.3185,189,0,0,"{""gate_close"": 760, ""prob_floor"": 114, ""stop_loss"": 4, ""prob_trailing"": 1, ""time_limit"": 1}",0.2339
0.49,0.5,0.15,1,,0.004,,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1179, ""prob_floor"": 127, ""stop_loss"": 7}",0.2339
0.49,0.5,0.15,1,,0.004,,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1033, ""prob_floor"": 94, ""stop_loss"": 6}",0.2339
0.49,0.5,0.15,1,,0.004,0.0075,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1179, ""prob_floor"": 124, ""stop_loss"": 7, ""take_profit"": 3}",0.2339
0.49,0.5,0.15,1,,0.004,0.0075,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1033, ""prob_floor"": 94, ""stop_loss"": 6}",0.2339
0.49,0.5,0.15,1,,0.005,,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1182, ""prob_floor"": 127, ""stop_loss"": 4}",0.2339
0.49,0.5,0.15,1,,0.005,,10,868,137,-5.482824477981558,-0.36552163186543724,-16.20169146557801,5.535715368707173,0.20177976820770713,-0.005007306429441906,-0.006316618062190734,0.2603,265,0,0,"{""gate_close"": 1035, ""prob_floor"": 94, ""stop_loss"": 4}",0.2339
0.49,0.5,0.15,1,,0.005,0.0075,8,790,165,-3.262174449486487,-0.21747829663243248,-8.748058845279848,3.4681844017826844,0.39215799854932765,-0.004132660229783173,-0.004129334746185422,0.2861,523,0,0,"{""gate_close"": 1182, ""prob_floor"": 124, ""stop_loss"": 4, ""take_profit"": 3}",0.2339
